file,frame,backend,noise_sigma,roi_size,n_gt_daughters,n_pred_daughters,mother_precision,mother_recall,mother_f1,mother_accuracy,mother_iou,daughter_precision,daughter_recall,daughter_f1,daughter_accuracy,daughter_iou,combined_precision,combined_recall,combined_f1,combined_accuracy,combined_iou,daughter_obj_precision,daughter_obj_recall,daughter_obj_f1,daughter_obj_accuracy,tp_objects,fp_objects,fn_objects
Experiment-1327.czi,0,watershed,0.0,full,1,0,0.0,0.0,0.0,0.751638046522957,0.0,0.0,0.0,0.0,0.9933564730239922,0.0,0.0,0.0,0.0,0.751638046522957,0.0,0.0,0.0,0.0,0.0,0,0,1
Experiment-1327.czi,0,active_contour,0.0,full,1,0,0.0,0.0,0.0,0.751638046522957,0.0,0.0,0.0,0.0,0.9933564730239922,0.0,0.0,0.0,0.0,0.751638046522957,0.0,0.0,0.0,0.0,0.0,0,0,1
Experiment-1327.czi,0,stardist,0.0,full,1,0,0.0,0.0,0.0,0.751638046522957,0.0,0.0,0.0,0.0,0.9933564730239922,0.0,0.0,0.0,0.0,0.751638046522957,0.0,0.0,0.0,0.0,0.0,0,0,1
Experiment-1327.czi,0,cellpose,0.0,full,1,0,0.0,0.0,0.0,0.751638046522957,0.0,0.0,0.0,0.0,0.9933564730239922,0.0,0.0,0.0,0.0,0.751638046522957,0.0,0.0,0.0,0.0,0.0,0,0,1
Experiment-1327.czi,86,watershed,0.0,full,1,0,0.9638403365553163,0.9911928306551298,0.977325241855623,0.98912434539033,0.9556559737809117,0.0,0.0,0.0,0.9834003166483984,0.0,0.9638403365553163,0.9911928306551298,0.977325241855623,0.98912434539033,0.9556559737809117,0.0,0.0,0.0,0.0,0,0,1
Experiment-1327.czi,86,active_contour,0.0,full,1,7,0.9638403365553163,0.9911928306551298,0.977325241855623,0.98912434539033,0.9556559737809117,0.19518165421283173,0.5557593543653705,0.2889016018306636,0.9545853123858239,0.16883985289200937,0.9638403365553163,0.9911928306551298,0.977325241855623,0.98912434539033,0.9556559737809117,0.0,0.0,0.0,0.0,0,7,1
Experiment-1327.czi,86,stardist,0.0,full,1,4,0.9638403365553163,0.9911928306551298,0.977325241855623,0.98912434539033,0.9556559737809117,0.06761945392491468,0.5814380044020543,0.1211495834288772,0.859968335160151,0.06448069647288557,0.9638403365553163,0.9911928306551298,0.977325241855623,0.98912434539033,0.9556559737809117,0.0,0.0,0.0,0.0,0,4,1
Experiment-1327.czi,86,cellpose,0.0,full,1,0,0.9638403365553163,0.9911928306551298,0.977325241855623,0.98912434539033,0.9556559737809117,0.0,0.0,0.0,0.9834003166483984,0.0,0.9638403365553163,0.9911928306551298,0.977325241855623,0.98912434539033,0.9556559737809117,0.0,0.0,0.0,0.0,0,0,1
Experiment-1327.czi,171,watershed,0.0,full,1,0,0.9446185997910136,1.0,0.9715206878022569,0.9861222749969553,0.9446185997910136,0.0,0.0,0.0,0.976385336743393,0.0,0.9446185997910136,1.0,0.9715206878022569,0.9861222749969553,0.9446185997910136,0.0,0.0,0.0,0.0,0,0,1
Experiment-1327.czi,171,active_contour,0.0,full,1,1,0.9446185997910136,1.0,0.9715206878022569,0.9861222749969553,0.9446185997910136,0.18507415588513726,0.6049510056730273,0.2834360275462124,0.9277676287906467,0.16511824324324326,0.9446185997910136,1.0,0.9715206878022569,0.9861222749969553,0.9446185997910136,0.0,0.0,0.0,0.0,0,1,1
Experiment-1327.czi,171,stardist,0.0,full,1,7,0.9446185997910136,1.0,0.9715206878022569,0.9861222749969553,0.9446185997910136,0.09544761026150517,0.6936565239814337,0.1678051214871651,0.8375289246133236,0.09158693949814443,0.9446185997910136,1.0,0.9715206878022569,0.9861222749969553,0.9446185997910136,0.0,0.0,0.0,0.0,0,7,1
Experiment-1327.czi,171,cellpose,0.0,full,1,0,0.9446185997910136,1.0,0.9715206878022569,0.9861222749969553,0.9446185997910136,0.0,0.0,0.0,0.976385336743393,0.0,0.9446185997910136,1.0,0.9715206878022569,0.9861222749969553,0.9446185997910136,0.0,0.0,0.0,0.0,0,0,1
Experiment-1327.czi,256,watershed,0.0,full,1,0,0.9309060616455138,1.0,0.9642168307786012,0.9828279137742053,0.9309060616455138,0.0,0.0,0.0,0.9797466812812081,0.0,0.9309060616455138,1.0,0.9642168307786012,0.9828279137742053,0.9309060616455138,0.0,0.0,0.0,0.0,0,0,1
Experiment-1327.czi,256,active_contour,0.0,full,1,0,0.9309060616455138,1.0,0.9642168307786012,0.9828279137742053,0.9309060616455138,0.0,0.0,0.0,0.9797466812812081,0.0,0.9309060616455138,1.0,0.9642168307786012,0.9828279137742053,0.9309060616455138,0.0,0.0,0.0,0.0,0,0,1
Experiment-1327.czi,256,stardist,0.0,full,1,4,0.9309060616455138,1.0,0.9642168307786012,0.9828279137742053,0.9309060616455138,0.06757381258023107,0.3956704750450992,0.11543353361694662,0.8771830471318962,0.06125203630439842,0.9309060616455138,1.0,0.9642168307786012,0.9828279137742053,0.9309060616455138,0.0,0.0,0.0,0.0,0,4,1
Experiment-1327.czi,256,cellpose,0.0,full,1,0,0.9309060616455138,1.0,0.9642168307786012,0.9828279137742053,0.9309060616455138,0.0,0.0,0.0,0.9797466812812081,0.0,0.9309060616455138,1.0,0.9642168307786012,0.9828279137742053,0.9309060616455138,0.0,0.0,0.0,0.0,0,0,1
